Project,File,Key,Comment,,Comment.en-US,.en-US
3DLaserGlueInspection_WPF,Resources\LanguageDict,FileDoesNotExist,,文件不存在,,File does not exist
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheOriginalPasswordIsIncorrect,,原密码错误！,,The original password is incorrect!
3DLaserGlueInspection_WPF,Resources\LanguageDict,PasswordChangedSuccessfully,,密码修改成功！,,Password changed successfully!
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheTwoNewPasswordsDoNotMatch,,两次新密码不一致！,,The two new passwords do not match!
3DLaserGlueInspection_WPF,Resources\LanguageDict,PasswordIncorrect,,密码错误！,,Password incorrect!
3DLaserGlueInspection_WPF,Resources\LanguageDict,FailedToFindCamera,,寻找相机失败：,,Failed to find camera:
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoCamerasFound,,未找到任何相机,,No cameras found
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraNotFound,,未找到相机,,Camera not found
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheFolderDoesNotExist,,文件夹不存在,,The folder does not exist
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraNotTurnedOn,,相机未打开,,Camera not turned on
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraCreationFailed,,相机创建失败:,,Camera creation failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraFailedToOpen,,相机打开失败:,,Camera failed to open:
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraShutdownFailed,,关闭相机失败：,,Camera shutdown failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,FailedToStartCollection,,开始采集失败：,,Failed to start collection:
3DLaserGlueInspection_WPF,Resources\LanguageDict,StopCollectionFailed,,停止采集失败：,,Stop collection failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,FormatConversionFailed,,格式转换失败,,Format conversion failed
3DLaserGlueInspection_WPF,Resources\LanguageDict,FormatConversionCreationFailed,,格式转换创建失败:,,Format conversion creation failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,UnknownFormat,,未知格式:,,Unknown format:
3DLaserGlueInspection_WPF,Resources\LanguageDict,CollectionFailed,,采集失败：,,Collection failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,FailedToObtainExposureTimeValue,,获取ExposureTime值失败：,,Failed to obtain Exposure Time value:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SetTheNumberOfInternalImageCachingNodesInTheSdkTo,,设置设置SDK内部图像缓存节点个数为,,Set the number of internal image caching nodes in the SDK to
3DLaserGlueInspection_WPF,Resources\LanguageDict,Failed,,失败：,,Failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,Set,,设置,,Set 
3DLaserGlueInspection_WPF,Resources\LanguageDict,To,,为,, to 
3DLaserGlueInspection_WPF,Resources\LanguageDict,Get,,获取,,Get 
3DLaserGlueInspection_WPF,Resources\LanguageDict,ValueFail,,值失败：,, Value fail
3DLaserGlueInspection_WPF,Resources\LanguageDict,AddressNotAssigned,,地址未分配,,Address not assigned
3DLaserGlueInspection_WPF,Resources\LanguageDict,WritingFormatNotSupported,,写入格式不支持,,Writing format not supported
3DLaserGlueInspection_WPF,Resources\LanguageDict,CopyToAllImages,,复制至全部图片,,Copy to all images
3DLaserGlueInspection_WPF,Resources\LanguageDict,CopyToRangeImage,,复制至范围图片,,Copy to Range Image
3DLaserGlueInspection_WPF,Resources\LanguageDict,DoYouWantToSaveIt,,是否保存,,Do you want to save it
3DLaserGlueInspection_WPF,Resources\LanguageDict,Para,,参数？,,Para?
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoImage,,无图片,,No Image
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoDetectionParameters,,无检测参数,,No detection parameters
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoCameraParameters,,无相机参数,,No camera parameters
3DLaserGlueInspection_WPF,Resources\LanguageDict,GlueWidth,,胶宽：,,Glue width:
3DLaserGlueInspection_WPF,Resources\LanguageDict,GlueHeight,,胶高：,,Glue height:
3DLaserGlueInspection_WPF,Resources\LanguageDict,Area,,面积：,,Area:
3DLaserGlueInspection_WPF,Resources\LanguageDict,PleaseSelectAFile,,请选择文件,,Please select a file
3DLaserGlueInspection_WPF,Resources\LanguageDict,ImageBmpJpgJpegPngAllFiles,,图片|*.bmp;*.jpg;*.jpeg;*.png|所有文件|*.*,,Image|*.bmp;*.jpg;*.jpeg;*.png|All Files|*.*
3DLaserGlueInspection_WPF,Resources\LanguageDict,SettingFailed,,设置失败：,,Setting failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,PleaseSelectTheVehicleModelFirst,,请先选择车型,,Please select the vehicle model first
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoImageSet,,未设置图片,,No image set
3DLaserGlueInspection_WPF,Resources\LanguageDict,LeftClickAddPointShiftSwitchMode,,左键:添加点 Shift:切换模式,,Left click: Add point Shift: Switch mode
3DLaserGlueInspection_WPF,Resources\LanguageDict,CtrlRightClickToDeleteCompleteDrawing,,Ctrl:删除点 右键:完成绘制,,Ctrl: Right click to delete: complete drawing
3DLaserGlueInspection_WPF,Resources\LanguageDict,PleaseSelectTheNumberOfSegmentsFirst,,请先选择段数,,Please select the number of segments first
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoTrajectorySet,,未设置轨迹,,No trajectory set
3DLaserGlueInspection_WPF,Resources\LanguageDict,DoesNotSupportStrings,,不支持字符串,,Does not support strings
3DLaserGlueInspection_WPF,Resources\LanguageDict,AddressFormatMismatch,,地址格式不匹配,,Address format mismatch
3DLaserGlueInspection_WPF,Resources\LanguageDict,ReadFailed,,读取失败:,,Read failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,WriteFailed,,写入失败:,,Write failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ConversionFailedFormatError,,转换失败，格式有误,,"Conversion failed, format error"
3DLaserGlueInspection_WPF,Resources\LanguageDict,ConnectionSuccessful,,连接成功,,Connection successful
3DLaserGlueInspection_WPF,Resources\LanguageDict,ConnectionFailed,,连接失败:,,Connection failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,CloseSuccessfully,,关闭成功,,Close successfully
3DLaserGlueInspection_WPF,Resources\LanguageDict,Start,,启动,,Start
3DLaserGlueInspection_WPF,Resources\LanguageDict,SimulationPathNotFilledIn,,仿真路径未填写,,Simulation path not filled in
3DLaserGlueInspection_WPF,Resources\LanguageDict,SimulationPathDoesNotExist,,仿真路径不存在,,Simulation path does not exist
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheMainThreadIsAlreadyRunning,,主线程已经运行中,,The main thread is already running
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraParametersLoadedSuccessfully,,相机参数加载成功,,Camera parameters loaded successfully
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraParameterLoadingFailed,,相机参数加载失败：,,Camera parameter loading failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ProductConfigurationParametersLoadedSuccessfully,,产品配置参数加载成功,,Product configuration parameters loaded successfully
3DLaserGlueInspection_WPF,Resources\LanguageDict,ProductParameters,,产品参数,,Product parameters
3DLaserGlueInspection_WPF,Resources\LanguageDict,LoadingSuccessful,,加载成功,,Loading successful
3DLaserGlueInspection_WPF,Resources\LanguageDict,LoadingFailed,,加载失败：,,Loading failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ProductConfigurationParameterLoadingFailed,,产品配置参数加载失败：,,Product configuration parameter loading failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,RobotParametersLoadedSuccessfully,,机器人参数加载成功,,Robot parameters loaded successfully
3DLaserGlueInspection_WPF,Resources\LanguageDict,RobotParameterLoadingFailed,,机器人参数加载失败：,,Robot parameter loading failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,IoParameterLoadingSuccessful,,IO参数加载成功,,IO parameter loading successful
3DLaserGlueInspection_WPF,Resources\LanguageDict,IoParameterLoadingFailed,,IO参数加载失败：,,IO parameter loading failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,RobotSuccessfullyConnected,,机器人连接成功,,Robot successfully connected
3DLaserGlueInspection_WPF,Resources\LanguageDict,RobotConnectionFailed,,机器人连接失败：,,Robot connection failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,IoConnectionSuccessful,,IO连接成功,,IO connection successful
3DLaserGlueInspection_WPF,Resources\LanguageDict,IoConnectionFailed,,IO连接失败：,,IO connection failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,OutputReadySignal,,输出Ready信号,,Output Ready signal
3DLaserGlueInspection_WPF,Resources\LanguageDict,WaitingForTheStartSignal,,等待开始信号,,Waiting for the start signal
3DLaserGlueInspection_WPF,Resources\LanguageDict,ReceivedStartSignal,,收到开始信号,,Received start signal
3DLaserGlueInspection_WPF,Resources\LanguageDict,ReceivedVehicleModelNumber,,收到车型号为,,Received vehicle model number:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ThereIsNoVehicleModelAvailable,,不存在车型,,There is no vehicle model available
3DLaserGlueInspection_WPF,Resources\LanguageDict,ProductNumber,,产品号：,,Product Number:
3DLaserGlueInspection_WPF,Resources\LanguageDict,Name,,名称：,,Name:
3DLaserGlueInspection_WPF,Resources\LanguageDict,Time,,时间：,,Time:
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoCameraParametersExist,,不存在相机参数：,,No camera parameters exist:
3DLaserGlueInspection_WPF,Resources\LanguageDict,NoProductParametersExist,,不存在产品参数：,,No product parameters exist:
3DLaserGlueInspection_WPF,Resources\LanguageDict,Cam,,相机,,Cam
3DLaserGlueInspection_WPF,Resources\LanguageDict,OpenSuccessful,,打开成功,,Open successful
3DLaserGlueInspection_WPF,Resources\LanguageDict,OpenFailed,,打开失败：,,Open failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,InitializationSettingsSuccessful,,初始化设置成功,,Initialization settings successful
3DLaserGlueInspection_WPF,Resources\LanguageDict,InitializationSettingsFailed,,初始化设置失败：,,Initialization settings failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,NotEnabled,,未启用,,Not enabled
3DLaserGlueInspection_WPF,Resources\LanguageDict,CameraConnectionCompleted,,相机连接完成,,Camera connection completed
3DLaserGlueInspection_WPF,Resources\LanguageDict,CoordinateConversionCamtotoolDoesNotExist,,坐标转换(CamToTool)不存在,,Coordinate conversion (CamToTool) does not exist
3DLaserGlueInspection_WPF,Resources\LanguageDict,CoordinateConversionLighttocamDoesNotExist,,坐标转换(LightToCam)不存在,,Coordinate conversion (LightToCam) does not exist
3DLaserGlueInspection_WPF,Resources\LanguageDict,ExternalParameterToolincamDatDoesNotExist,,外参(ToolInCam.dat)不存在,,External parameter (ToolInCam. dat) does not exist
3DLaserGlueInspection_WPF,Resources\LanguageDict,ExternalParameterLightincamDatDoesNotExist,,外参(LightInCam.dat)不存在,,External parameter (LightInCam. dat) does not exist
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheInternalReferenceCamparamCalDoesNotExist,,内参(camparam.cal)不存在,,The internal reference (camparam. cal) does not exist
3DLaserGlueInspection_WPF,Resources\LanguageDict,InitializeDataSuccessfully,,初始化数据成功,,Initialize data successfully
3DLaserGlueInspection_WPF,Resources\LanguageDict,RobotAttitudeAcquisitionTaskHasBeenInitiatedAndCompleted,,机器人姿态获取任务启动完成,,Robot attitude acquisition task has been initiated and completed
3DLaserGlueInspection_WPF,Resources\LanguageDict,OutputRunningSignal,,输出Running信号,,Output Running Signal
3DLaserGlueInspection_WPF,Resources\LanguageDict,TurnOffTheReadySignal,,关闭Ready信号,,Turn off the Ready signal
3DLaserGlueInspection_WPF,Resources\LanguageDict,WaitingForTriggerSignalOn,,等待触发信号ON,,Waiting for trigger signal ON
3DLaserGlueInspection_WPF,Resources\LanguageDict,ReceivedTriggerSignalOn,,收到触发信号ON,,Received trigger signal ON
3DLaserGlueInspection_WPF,Resources\LanguageDict,ImageProcessingTaskStartupCompleted,,图像处理任务启动完成,,Image processing task startup completed
3DLaserGlueInspection_WPF,Resources\LanguageDict,3DImageDisplayTaskStartupCompleted,,三维图像显示任务启动完成,,3D image display task startup completed
3DLaserGlueInspection_WPF,Resources\LanguageDict,ReceivedEndSignalExitThePhotoLoop,,"收到END信号,退出拍照循环",,"Received END signal, exit the photo loop"
3DLaserGlueInspection_WPF,Resources\LanguageDict,ReceivedAbortSignalProcessRestarts,,"收到Abort信号,流程重新开始",,"Received Abort signal, process restarts"
3DLaserGlueInspection_WPF,Resources\LanguageDict,StartingContinuousCollectionSuccessfully,,开始连续采集成功,,Starting continuous collection successfully
3DLaserGlueInspection_WPF,Resources\LanguageDict,StartingContinuousCollectionFailed,,开始连续采集失败：,,Starting continuous collection failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,WaitingForTriggerSignalOff,,等待触发信号OFF,,Waiting for trigger signal OFF
3DLaserGlueInspection_WPF,Resources\LanguageDict,ReceivedTriggerSignalOff,,收到触发信号OFF,,Received trigger signal OFF
3DLaserGlueInspection_WPF,Resources\LanguageDict,StopCollectionSuccessfully,,停止采集成功,,Stop collection successfully
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheNumberOfCameraSegmentsIsSufficient,,拍照段数足够,,The number of camera segments is sufficient
3DLaserGlueInspection_WPF,Resources\LanguageDict,InsufficientNumberOfPhotoSegments,,拍照段数不足,,Insufficient number of photo segments
3DLaserGlueInspection_WPF,Resources\LanguageDict,ExitThePhotoLoop,,退出拍照循环,,Exit the photo loop
3DLaserGlueInspection_WPF,Resources\LanguageDict,ContinueThePhotoLoop,,继续拍照循环,,Continue the photo loop
3DLaserGlueInspection_WPF,Resources\LanguageDict,WaitingForTheRobotToCompleteProcessing,,等待机器人处理完成,,Waiting for the robot to complete processing
3DLaserGlueInspection_WPF,Resources\LanguageDict,RobotProcessingCompleted,,机器人处理完成,,Robot processing completed
3DLaserGlueInspection_WPF,Resources\LanguageDict,WaitingForImageProcessingToComplete,,等待图像处理完成,,Waiting for image processing to complete
3DLaserGlueInspection_WPF,Resources\LanguageDict,ImageProcessingCompleted,,图像处理完成,,Image processing completed
3DLaserGlueInspection_WPF,Resources\LanguageDict,TurnOffTheRunningSignal,,关闭Running信号,,Turn off the Running signal
3DLaserGlueInspection_WPF,Resources\LanguageDict,StartSavingImages,,开始存图,,Start saving images
3DLaserGlueInspection_WPF,Resources\LanguageDict,ImageStorageException,,存图异常：,,Image storage exception:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ImageStorageCompleted,,存图完成,,Image storage completed
3DLaserGlueInspection_WPF,Resources\LanguageDict,ProcessException,,流程异常：,,Process exception:
3DLaserGlueInspection_WPF,Resources\LanguageDict,LaserSuccessfullyTurnedOff,,关闭激光成功,,Laser successfully turned off
3DLaserGlueInspection_WPF,Resources\LanguageDict,LaserShutdownFailed,,关闭激光失败：,,Laser shutdown failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,ClosingFailed,,关闭失败：,,Closing failed:
3DLaserGlueInspection_WPF,Resources\LanguageDict,SignalReReadingSuccessful,,信号重读成功,,Signal re reading successful
3DLaserGlueInspection_WPF,Resources\LanguageDict,SignalReadFailedRereading,,信号读取失败，重读中:,,"Signal read failed, rereading:"
3DLaserGlueInspection_WPF,Resources\LanguageDict,SignalRewritingSuccessful,,信号重写成功,,Signal rewriting successful
3DLaserGlueInspection_WPF,Resources\LanguageDict,SignalWriteFailedRewritingInProgress,,信号写入失败，重写中:,,"Signal write failed, rewriting in progress:"
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheSoftwareIsRunningAreYouSureToExit,,软件正在运行中，确定退出？,,"The software is running, are you sure to exit?"
3DLaserGlueInspection_WPF,Resources\LanguageDict,ThisCommunicationMethodHasNoSettingInterface,,该通讯方式无设置界面！,,This communication method has no setting interface!
3DLaserGlueInspection_WPF,Resources\LanguageDict,Computer,,上位机,,Computer
3DLaserGlueInspection_WPF,Resources\LanguageDict,Robot,,机器人,,Robot
3DLaserGlueInspection_WPF,Resources\LanguageDict,Down,,下,,Down
3DLaserGlueInspection_WPF,Resources\LanguageDict,Up,,上,,Up
3DLaserGlueInspection_WPF,Resources\LanguageDict,TheNameIsEmpty,,名称为空！,,The name is empty!
3DLaserGlueInspection_WPF,Resources\LanguageDict,DuplicateName,,名称重复！,,Duplicate name!
3DLaserGlueInspection_WPF,Resources\LanguageDict,Stop,,停止,,Stop
3DLaserGlueInspection_WPF,Resources\LanguageDict,StartIndexIsGreaterThanEndIndex,,起点大于终点,,Start index is greater than end index
